Timestamp,Symbol,Action,Price,EMA_9,EMA_21,Status,Account_Equity
2025-12-29 15:48:23,SPY,SIGNAL_CHECK,684.73,684.69,684.66,Bullish trend,99999.65
2025-12-29 15:49:23,SPY,SIGNAL_CHECK,684.79,684.70,684.67,Bullish trend,99999.57
2025-12-29 15:50:23,SPY,SIGNAL_CHECK,684.90,684.74,684.69,Bullish trend,99999.71
2025-12-29 15:51:23,SPY,SIGNAL_CHECK,684.86,684.73,684.68,Bullish trend,99999.54
2025-12-29 15:52:24,SPY,SIGNAL_CHECK,684.87,684.73,684.68,Bullish trend,99999.50
2025-12-29 15:53:24,SPY,SIGNAL_CHECK,684.84,684.73,684.68,Bullish trend,99999.41
2025-12-29 15:54:24,SPY,SIGNAL_CHECK,684.84,684.73,684.68,Bullish trend,99999.34
2025-12-29 15:55:24,SPY,SIGNAL_CHECK,684.85,684.75,684.70,Bullish trend,99999.25
2025-12-29 15:56:25,SPY,SIGNAL_CHECK,684.83,684.75,684.69,Bullish trend,99999.21
2025-12-29 15:57:25,SPY,SIGNAL_CHECK,684.73,684.73,684.68,Bullish trend,99999.19
2025-12-29 15:58:25,SPY,SIGNAL_CHECK,684.71,684.73,684.68,Bullish trend,99999.35
2025-12-29 15:59:25,SPY,SIGNAL_CHECK,684.68,684.72,684.68,Bullish trend,99999.10
2025-12-29 16:00:25,SPY,MARKET_CLOSED,,,,Market closed. Next open: 2025-12-30 09:30:00,
2025-12-29 16:05:25,SPY,MARKET_CLOSED,,,,Market closed. Next open: 2025-12-30 09:30:00,
2025-12-29 16:10:25,SPY,MARKET_CLOSED,,,,Market closed. Next open: 2025-12-30 09:30:00,
2025-12-29 16:15:26,SPY,MARKET_CLOSED,,,,Market closed. Next open: 2025-12-30 09:30:00,
2025-12-29 16:20:26,SPY,MARKET_CLOSED,,,,Market closed. Next open: 2025-12-30 09:30:00,
2025-12-29 16:25:26,SPY,MARKET_CLOSED,,,,Market closed. Next open: 2025-12-30 09:30:00,
