Date,open,high,low,close,volume
2021-01-12 00:00:00-05:00,196.08933608133657,198.7882399061736,196.06112564303308,198.66598510742188,24892200
2021-01-13 00:00:00-05:00,198.8258440996186,199.1079628247972,196.71938822981463,197.24600219726562,22782200
2021-01-14 00:00:00-05:00,198.64716342203076,202.18300996549976,198.54372037784975,201.1862030029297,33913700
2021-01-15 00:00:00-05:00,198.24279171982303,201.20501654841942,195.84480429166973,198.18637084960938,41043500
2021-01-19 00:00:00-05:00,200.62199029270042,200.87589858677788,199.0985692265452,200.72543334960938,19744300
2021-01-20 00:00:00-05:00,201.58119507829684,203.10461619610726,200.36810314173584,201.60940551757812,25474200
2021-01-21 00:00:00-05:00,202.15483529574274,202.33351098086234,199.3148647750886,199.86029052734375,21180500
2021-01-22 00:00:00-05:00,197.9419225361599,202.4933889012513,197.05795709559325,202.1830596923828,24800200
2021-01-25 00:00:00-05:00,202.11720342362196,204.9195646912599,198.9857299375561,201.9855499267578,33985000
2021-01-26 00:00:00-05:00,203.40553972846197,203.77228977573878,200.08597756104083,200.58438110351562,23969800
2021-01-27 00:00:00-05:00,197.01089849483876,200.2928513251976,194.93263878897432,196.90745544433594,45830300
2021-01-28 00:00:00-05:00,198.27103431030076,199.70982413070342,195.2524024710856,196.2774200439453,32202500
2021-01-29 00:00:00-05:00,197.2271793200489,198.41207502906693,192.62869171148557,193.30577087402344,40591900
2021-02-01 00:00:00-05:00,195.76020379104438,198.95752564809493,193.4938694864785,198.05474853515625,26375100
2021-02-02 00:00:00-05:00,200.4433010694329,201.2896572094351,198.31803354740342,200.87588500976562,22773100
2021-02-03 00:00:00-05:00,200.96052216213246,201.9385318169066,198.9763067645002,201.4777374267578,23923200
2021-02-04 00:00:00-05:00,202.26768724151492,205.7847371938729,202.25828854414524,205.58724975585938,25400800
2021-02-05 00:00:00-05:00,207.76894876129873,208.6152906808148,205.72831223828936,208.43661499023438,23338800
2021-02-08 00:00:00-05:00,210.4490373568101,213.77801279299575,210.08228728494106,213.7592010498047,20831500
2021-02-09 00:00:00-05:00,213.58994376703646,215.93149645803837,212.81882011757057,214.7654266357422,19510900
2021-02-10 00:00:00-05:00,216.21361110839678,216.58977422872934,211.5398901632889,213.35484313964844,27955400
2021-02-11 00:00:00-05:00,214.5397121201723,215.3484448450851,210.10108800425388,213.11032104492188,25847600
