fast,slow,total_return,sharpe,max_drawdown,win_rate,trades,final_equity
10,50,-15.233223818681378,-0.08935230609993239,-53.400621278823266,35.0,240,84766.77618131862
10,100,-3.218663531799437,0.11509994188766905,-53.1636237353073,30.76923076923077,156,96781.33646820056
10,150,19.887742744643138,0.4432034417500677,-45.48449018963077,35.199999999999996,125,119887.74274464314
10,200,21.292566423636732,0.46270029283226843,-42.07834396047508,31.313131313131315,99,121292.56642363673
20,50,-28.07744775214196,-0.3390593470427521,-52.374904091613374,36.09756097560975,205,71922.55224785804
20,100,66.27328502854999,0.9369951801278423,-31.52158323061105,35.65217391304348,115,166273.28502855
20,150,47.979024495948394,0.7656342356114951,-36.94342775816173,33.33333333333333,93,147979.0244959484
20,200,19.703188434701108,0.44170984694067367,-37.37378994769691,28.915662650602407,83,119703.18843470111
30,50,49.31498855862755,0.7721441976817847,-34.80091102518138,37.5609756097561,205,149314.98855862755
30,100,61.705586735808346,0.8913782762950202,-34.033199090189356,38.613861386138616,101,161705.58673580835
30,150,52.73073323260521,0.8115854529804064,-39.43410968534117,30.37974683544304,79,152730.7332326052
30,200,20.46961698045244,0.4509028308208923,-38.639976789926976,32.467532467532465,77,120469.61698045244
40,50,52.758272915268435,0.806197681506739,-35.115782868568516,43.333333333333336,240,152758.27291526843
40,100,96.56247764823176,1.1845367213337805,-33.684238345940805,42.857142857142854,98,196562.47764823175
40,150,54.32798072812738,0.8271830088996442,-41.48476908941493,32.3943661971831,71,154327.98072812738
40,200,72.00969298175487,0.9867235367626975,-30.827121070661846,29.6875,64,172009.69298175487
50,100,116.67972250618858,1.3286522605749491,-34.2559361884139,44.44444444444444,99,216679.72250618858
50,150,35.221119937525714,0.6228657464425323,-45.62821011058762,35.13513513513514,74,135221.1199375257
50,200,69.47625037322356,0.9605061841220586,-32.180593751333994,35.0,60,169476.25037322356
